Date	input3...9.	UT...5.	ReturnAUM.RGE	AdjAUM.AdjGE	GE_USDCAD	SPX_USDCAD	EU_USDCAD	UK_GBPCAD	JP_JPYCAD
01/23/2017	16816756717	0	16768576840	16939633128	-0.002864992	-0.004859444	-0.000168778	0.004986255	-0.002377393
01/24/2017	16727513622	0	16634264343	16768576840	-0.005574605	-0.004179814	-0.007402117	-0.009022958	-0.020956909
01/25/2017	16780888348	0	16831155877	16634264343	0.002995523	0.002511452	0.006176715	0.004495387	0.01213427
01/26/2017	16794732927	0	16794935114	16831155877	1.20E-05	0.000409854	-0.003257134	-0.001257958	0.008708991
01/27/2017	16821131585	0	16845320685	16794935114	0.001438019	0.000734707	0.002015587	0.001630468	0.003078539
01/30/2017	16681938477	0	16537097653	16845320685	-0.008682494	-0.008470836	-0.014256595	-0.014451565	0.00370416
01/31/2017	16607232263	0	16540701742	16537097653	-0.004006117	-0.005087139	-0.000102776	-0.001528441	-0.014956485
02/01/2017	16685556242	0	16751994021	16540701742	0.003981754	0.003635918	0.007371646	0.00977335	0.003168372
02/02/2017	16618281399	0	16546099410	16751994021	-0.004343529	-0.004822282	-0.004432984	-0.009827159	-0.010180149
02/03/2017	16727359428	0	16808752876	16546099410	0.004865887	0.006297093	0.003281619	0.003726259	0.001811039
02/06/2017	16806438746	0	16897078376	16808752876	0.005393149	0.00732756	-0.001968304	0.002264265	0.015511554
02/07/2017	16823657700	-17003000	16860401375	16880075376	0.002184048	0.002894905	0.000945812	0.003372925	-0.001602018
02/08/2017	16855477199	0	16888233964	16860401375	0.00194339	-0.000257405	0.004200111	0.007885851	0.006045119
02/10/2017	17084280014	180554677.2	17081862436	17102437915	-0.000141509	-0.000561798	-0.006305444	-0.003647682	0.020306705
02/13/2017	17183237067	0	17280464396	17081862436	0.005658266	0.006014747	0.006515075	0.005298337	-0.001430172
02/14/2017	17219124114	0	17245584040	17280464396	0.001536659	0.005273389	-0.00247776	-0.003376673	-0.015650434
02/15/2017	17109174543	-169800000	17184405318	17075784040	0.004397101	0.003880031	0.003249316	0.002780215	0.012047829
02/16/2017	17104227449	-2389927.27	17104460505	17182015391	1.36E-05	-0.00277282	0.0035843	-0.001304862	0.002372552
02/17/2017	17171703774	0	17235886024	17104460505	0.003737675	0.005436362	0.000144813	0.001093472	-0.00052139
02/21/2017	17259445983	0	17374870550	17235886024	0.006687617	0.00931347	0.001584675	-0.000591598	0.004503751
02/22/2017	17326585023	0	17397540625	17374870550	0.004095187	0.003252081	0.00493118	0.007231595	0.004918287
02/23/2017	17230003730	0	17131576962	17397540625	-0.005712522	-0.007201588	-0.004398589	-0.00456205	0.001114626
02/24/2017	17178040594	0	17143935301	17131576962	-0.001985401	0.00183756	-0.009477409	-0.007928231	-0.000988458
02/28/2017	17123805528	0	17285616872	16953239276	0.009449497	0.008385275	0.014308421	0.010451715	0.009158504
03/01/2017	17493511204	-4.00E+05	17806867857	17285216872	0.017912736	0.021901386	0.016198209	0.014134053	0.007626505
03/02/2017	17380511817	-13803937.29	17342254647	17793063920	-0.002201153	-0.004221826	-0.001383362	-0.001108231	0.007651209
03/03/2017	17304440819	-138566946.5	17359216482	17203687701	0.003165411	0.003570989	0.00548124	0.000181125	-0.002541078
03/06/2017	17248781595	0	17193549532	17359216482	-0.003202085	-0.004726049	-0.003327915	-0.005152107	-0.000865345
03/08/2017	22251617682	94275697.1	22276897919	22175756958	0.001136108	0.001883129	0.002702455	0.00145102	-0.002290323
03/10/2017	22357643075	0	22392244391	22454830472	0.001547628	-0.000627006	0.004130163	0.001308291	0.013226026
03/13/2017	22388345434	0	22414357691	22392244391	0.001161866	-0.000858889	0.003707891	0.007523542	-0.001278455
03/14/2017	22188318529	-144850000	22121638626	22269507691	-0.003005181	-0.002601074	-0.004573663	-0.005835115	0.002502698
03/15/2017	22294789119	0	22412600743	22121638626	0.005284267	0.00755077	0.002183606	0.005104155	-0.002768293
03/16/2017	22192305921	0	22092411332	22412600743	-0.004501316	-0.01164676	0.006870613	0.008318204	0.002357318
03/17/2017	22269331245	0	22346991877	22092411332	0.003487336	0.002660579	0.005975364	0.005409219	0.004088511
03/20/2017	22208912491	0	22160632687	22346991877	-0.002173893	-0.002868351	-0.001413609	-0.000829023	0.001730893
03/21/2017	21988934079	0	21760042046	22160632687	-0.010409419	-0.015254506	-0.003002158	-0.000553748	0.003984349
03/22/2017	21987972637	0	21989793392	21760042046	8.28E-05	0.003996149	-0.003017044	-0.005535168	-0.018119161
03/23/2017	21992434548	0	21997838829	21989793392	0.000245734	-0.002108087	0.006061966	0.005162392	0.005976759
03/24/2017	22070059454	0	22147989647	21997838829	0.003531037	0.002191008	0.002890051	-0.000290527	0.007784461
03/27/2017	21881197132	0	21887023669	22147989647	0.000266281	-0.000422045	0.003908076	0.001088244	-0.008569945
03/28/2017	22047072284	0	22212207796	21887023669	0.007490133	0.007289119	0.00458681	0.004031284	0.007637107
03/29/2017	22031624499	0	22023416882	22212207796	-0.000372538	0.001047999	-0.007639746	-0.005720872	-0.002521912
03/30/2017	21937711377	0	21831993861	22023416882	-0.004818986	-0.003772934	-0.003041335	-0.000870442	-0.014862104
03/31/2017	21957886520	6295319.71	21959584390	21838289181	7.73E-05	0.001085318	0.001471366	-0.002044639	-0.004947293
04/04/2017	22075009844	0	22158255006	22022485868	0.003771014	0.003698022	0.006060249	0.005884441	-0.006131337
04/05/2017	22003245260	181018.1	21926453801	22158436024	-0.003490006	-0.004427978	-0.001203827	0.002424793	0.005570663
04/06/2017	22017837362	2750000	22029752664	21929203801	0.000541166	0.001854797	0.001193706	-0.002396529	-0.016623886
04/07/2017	21973614937	0	21925745538	22029752664	-0.002178494	-0.002428807	-0.004106753	-0.003704708	0.000524246
04/10/2017	21950156357	0	21921697514	21925745538	-0.001296521	-0.001479383	-0.003894599	0.000604343	0.002574013
04/11/2017	21936165362	0	21925350568	21921697514	-0.000493012	-0.002592272	0.001440102	0.005965436	0.009220097
04/12/2017	21748717902	0	21563675324	21925350568	-0.008508206	-0.009619487	-0.004820758	-0.006282494	-0.010520879
04/13/2017	21631307814	0	21511584629	21563675324	-0.005534718	-0.007039269	-0.003138142	-0.00255155	-0.001655572
04/17/2017	21709009530	0	21881409548	21511584629	0.007941404	0.008993502	0.004008514	0.006443842	-0.002242481
04/18/2017	21781932002	0	21842395017	21881409548	0.002775833	0.004572996	-0.000493085	-0.00400274	0.012781413
04/19/2017	21882467563	0	21974874915	21842395017	0.004222894	0.003659807	0.009267532	0.004404483	0.004477294
